Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1688003139,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1688003140,5,,Aggregated,0.000000,0.000000,370,370,370,370,370,370,370,370,370,370,370,5,0,370.0,336.0014800000001,196.98899999999986,371.50890000000004,16184.0
1688003141,10,,Aggregated,0.000000,0.000000,340,370,370,370,370,370,370,370,370,370,370,10,0,330.0,268.11654000000004,108.90580000000006,371.50890000000004,16189.6
1688003142,20,,Aggregated,0.000000,0.000000,110,330,370,370,370,370,370,370,370,370,370,15,0,110.0,210.92341333333334,95.77729999999995,371.50890000000004,16191.466666666667
1688003143,25,,Aggregated,4.000000,0.000000,260,260,340,370,370,370,370,370,370,370,370,20,0,200.0,216.230105,95.77729999999995,371.50890000000004,16195.2
1688003144,30,,Aggregated,5.000000,0.000000,200,260,300,340,370,370,370,370,370,370,370,25,0,200.0,207.29531200000005,83.63610000000054,371.50890000000004,16195.2
1688003145,35,,Aggregated,5.000000,0.000000,110,260,300,330,370,370,370,370,370,370,370,30,0,110.0,185.9372266666667,78.71760000000006,371.50890000000004,16195.2
1688003146,40,,Aggregated,4.600000,0.000000,130,270,280,300,370,370,370,370,370,370,370,35,0,130.0,194.51719999999997,78.71760000000006,371.50890000000004,16193.6
1688003147,45,,Aggregated,5.000000,0.000000,130,260,280,300,370,370,370,370,370,370,370,40,0,120.0,189.77679749999996,78.71760000000006,371.50890000000004,16192.4
1688003148,50,,Aggregated,4.428571,0.000000,110,260,270,280,340,370,370,370,370,370,370,47,0,110.0,174.8513255319149,78.71760000000006,371.50890000000004,16192.340425531915
1688003149,55,,Aggregated,4.750000,0.000000,110,260,270,280,370,370,460,480,480,480,480,57,0,110.0,182.52472807017546,78.71760000000006,475.5488999999997,16193.82456140351
1688003150,60,,Aggregated,5.111111,0.000000,110,200,270,280,340,370,460,480,480,480,480,63,0,110.0,173.0061222222223,77.61950000000084,475.5488999999997,16195.555555555555
1688003151,65,,Aggregated,5.200000,0.000000,100,180,260,270,340,370,460,480,480,480,480,72,0,99,167.1304680555556,77.34690000000022,475.5488999999997,16196.444444444445
1688003152,70,,Aggregated,6.100000,0.000000,99,130,260,270,340,370,460,480,480,480,480,82,0,97,161.74780975609758,67.59429999999966,475.5488999999997,16194.926829268292
1688003153,75,,Aggregated,6.000000,0.000000,99,120,260,270,340,410,460,480,480,480,480,94,0,97,156.32479361702133,67.0938999999997,475.5488999999997,16196.510638297872
1688003154,80,,Aggregated,6.300000,0.000000,99,110,200,260,340,380,450,460,480,480,480,107,0,99,153.7486691588785,67.0938999999997,475.5488999999997,16197.084112149532
1688003155,85,,Aggregated,7.300000,0.000000,99,110,180,260,340,410,460,480,640,640,640,118,0,97,152.7754728813558,67.0938999999997,637.7630999999973,16196.813559322034
1688003156,90,,Aggregated,7.600000,0.000000,97,110,130,260,330,380,460,480,640,640,640,129,0,97,147.52787519379834,67.0938999999997,637.7630999999973,16197.023255813954
1688003157,95,,Aggregated,8.200000,0.000000,97,110,130,260,340,410,460,480,640,640,640,139,0,97,147.80471223021578,67.0938999999997,637.7630999999973,16197.294964028777
1688003158,100,,Aggregated,9.300000,0.000000,97,110,120,260,340,410,470,480,640,640,640,149,0,97,146.55271946308716,67.0938999999997,637.7630999999973,16197.154362416108
1688003159,105,,Aggregated,9.600000,0.000000,97,110,110,180,330,400,460,480,640,640,640,165,0,97,141.65531333333328,67.0938999999997,637.7630999999973,16196.896969696969
1688003160,110,,Aggregated,9.900000,0.000000,97,110,110,170,330,410,470,520,640,640,640,177,0,97,141.8512853107344,67.0938999999997,637.7630999999973,16196.97175141243
1688003161,115,,Aggregated,10.400000,0.000000,97,110,110,150,330,400,470,520,640,640,640,191,0,97,140.04281780104708,67.0938999999997,637.7630999999973,16197.486910994765
1688003162,120,,Aggregated,10.800000,0.000000,97,100,110,130,320,380,460,480,640,640,640,204,0,97,136.9533916666666,67.0938999999997,637.7630999999973,16197.176470588236
1688003163,125,,Aggregated,11.000000,0.000000,96,100,110,120,320,390,460,480,640,640,640,223,0,96,135.9097408071748,67.0938999999997,637.7630999999973,16196.556053811659
1688003164,130,,Aggregated,11.300000,0.000000,96,100,110,120,320,400,460,480,640,640,640,237,0,96,134.7288371308016,67.0938999999997,637.7630999999973,16197.23206751055
1688003165,135,,Aggregated,11.500000,0.000000,96,100,110,120,300,390,450,480,640,640,640,253,0,96,131.8983142292489,67.0938999999997,637.7630999999973,16197.280632411068
1688003166,140,,Aggregated,12.400000,0.000000,96,100,110,120,300,390,450,480,640,640,640,269,0,96,132.330079182156,67.0938999999997,637.7630999999973,16197.32342007435
1688003167,145,,Aggregated,12.500000,0.000000,96,100,110,120,300,390,450,480,640,640,640,285,0,96,131.21441473684192,67.0938999999997,637.7630999999973,16197.754385964912
1688003169,150,,Aggregated,12.900000,0.000000,96,100,110,110,280,380,440,470,640,640,640,302,0,96,129.1721019867548,67.0938999999997,637.7630999999973,16197.350993377484
1688003170,155,,Aggregated,13.500000,0.000000,97,100,110,120,300,380,440,470,640,640,640,314,0,97,131.00600573248383,67.0938999999997,637.7630999999973,16197.197452229299
1688003171,160,,Aggregated,14.000000,0.000000,98,100,110,120,300,370,440,470,640,640,640,336,0,97,130.48184226190446,63.51209999999696,637.7630999999973,16197.5
1688003172,165,,Aggregated,14.600000,0.000000,97,100,110,110,280,370,440,470,640,640,640,357,0,97,128.11628599439754,63.51209999999696,637.7630999999973,16197.490196078432
1688003173,170,,Aggregated,14.400000,0.000000,97,100,110,110,280,370,440,470,640,640,640,373,0,97,128.69237694369951,63.51209999999696,637.7630999999973,16197.812332439678
1688003174,175,,Aggregated,15.800000,0.000000,97,100,110,110,280,370,440,470,640,640,640,390,0,96,128.0466974358972,63.51209999999696,637.7630999999973,16198.071794871796
1688003175,180,,Aggregated,16.900000,0.000000,96,100,110,110,280,350,420,460,640,640,640,408,0,96,126.41092499999976,63.51209999999696,637.7630999999973,16198.0
1688003176,185,,Aggregated,16.700000,0.000000,97,100,110,110,280,340,420,460,640,640,640,430,0,97,126.54638279069742,63.51209999999696,637.7630999999973,16197.80465116279
1688003177,190,,Aggregated,16.700000,0.000000,97,100,110,110,280,340,420,460,640,640,640,451,0,97,126.64416119733897,63.51209999999696,637.7630999999973,16198.40354767184
1688003178,195,,Aggregated,17.500000,0.000000,97,100,110,110,280,330,420,460,640,640,640,472,0,97,125.06855296610145,63.51209999999696,637.7630999999973,16198.71186440678
1688003179,200,,Aggregated,18.200000,0.000000,97,100,110,110,280,340,420,460,640,640,640,492,0,97,127.20698821138191,63.51209999999696,637.7630999999973,16199.138211382115
1688003180,205,,Aggregated,18.500000,0.000000,97,100,110,110,280,340,410,450,640,640,640,516,0,97,126.28772693798433,63.51209999999696,637.7630999999973,16199.193798449613
1688003181,210,,Aggregated,18.900000,0.000000,96,100,110,110,280,330,410,450,640,640,640,545,0,96,124.50748018348611,63.51209999999696,637.7630999999973,16199.207339449542
1688003182,215,,Aggregated,20.000000,0.000000,97,100,110,110,280,330,410,450,640,640,640,565,0,97,125.78821061946883,63.51209999999696,637.7630999999973,16199.26371681416
1688003183,220,,Aggregated,20.700000,0.000000,97,100,110,110,280,330,410,450,640,640,640,590,0,97,125.50740593220321,63.51209999999696,637.7630999999973,16199.091525423728
1688003184,225,,Aggregated,20.700000,0.000000,97,100,110,110,280,330,400,440,640,640,640,613,0,97,124.2193101141924,63.51209999999696,637.7630999999973,16198.799347471451
1688003185,230,,Aggregated,21.300000,0.000000,97,100,110,110,280,330,400,440,640,640,640,644,0,97,124.92925714285701,63.51209999999696,637.7630999999973,16199.130434782608
1688003186,235,,Aggregated,22.300000,0.000000,97,100,110,110,280,330,400,440,640,640,640,670,0,97,124.97229462686556,63.51209999999696,637.7630999999973,16198.961194029851
1688003187,240,,Aggregated,23.400000,0.000000,97,100,110,110,270,330,400,440,640,640,640,689,0,97,124.13034426705359,63.51209999999696,637.7630999999973,16198.792452830188
