Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1688072498,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1688072499,20,,Aggregated,0.000000,0.000000,210,210,210,220,220,220,220,220,220,220,220,20,0,210.0,161.87522835000294,47.387689999993654,220.68095800000265,25509.95
1688072500,40,,Aggregated,0.000000,0.000000,78,200,210,210,220,220,220,220,220,220,220,40,0,73,116.70488390000101,47.387689999993654,220.68095800000265,24941.75
1688072501,60,,Aggregated,6.000000,0.000000,71,79,88,200,210,220,220,220,220,220,220,67,0,71,94.08025720895508,22.43254399999728,220.68095800000265,24919.492537313432
1688072502,80,,Aggregated,20.000000,0.000000,61,71,74,79,210,210,220,220,220,220,220,102,0,61,74.62425922548982,16.60749699999542,220.68095800000265,24891.56862745098
1688072503,100,,Aggregated,20.333333,0.000000,61,72,80,86,200,210,220,220,220,220,220,136,0,61,70.61876369852897,16.60749699999542,220.68095800000265,24965.75
1688072504,120,,Aggregated,22.250000,0.000000,46,66,73,79,96,210,220,220,220,220,220,179,0,46,62.01117549161984,16.60749699999542,220.68095800000265,25034.99441340782
1688072505,140,,Aggregated,24.600000,0.000000,43,60,68,72,88,210,210,220,220,220,220,231,0,43,55.56175151515151,15.65803299999402,220.68095800000265,24959.675324675325
1688072506,160,,Aggregated,27.000000,0.000000,40,50,62,68,86,110,210,220,220,220,220,284,0,40,51.28837157042288,15.65803299999402,220.68095800000265,24944.704225352114
1688072507,180,,Aggregated,29.000000,0.000000,39,46,61,67,88,96,210,220,220,220,220,346,0,39,49.454124494220494,15.65803299999402,220.68095800000265,24989.300578034683
1688072508,200,,Aggregated,31.625000,0.000000,37,44,54,62,85,94,210,210,220,220,220,417,0,37,46.63526710791442,15.65803299999402,220.68095800000265,24952.918465227816
1688072509,220,,Aggregated,34.666667,0.000000,35,44,51,60,79,91,210,210,220,220,220,489,0,35,44.80258234355899,15.443225000012717,220.68095800000265,24937.668711656443
1688072510,240,,Aggregated,37.300000,0.000000,34,43,49,56,73,90,210,210,220,220,220,565,0,34,43.27562629203631,15.443225000012717,220.68095800000265,24918.550442477877
1688072511,260,,Aggregated,43.400000,0.000000,34,42,49,56,79,94,200,210,220,220,220,653,0,34,43.32861205666225,15.443225000012717,220.68095800000265,24883.24808575804
1688072512,280,,Aggregated,47.600000,0.000000,33,41,46,52,73,92,120,210,220,220,220,748,0,33,41.38530227540196,15.443225000012717,220.68095800000265,24886.254010695186
1688072513,300,,Aggregated,52.400000,0.000000,33,41,46,53,72,90,110,210,220,220,220,831,0,33,40.9568524584846,15.443225000012717,220.68095800000265,24892.257521058964
1688072514,320,,Aggregated,58.800000,0.000000,32,40,46,51,70,89,110,210,220,220,220,937,0,32,39.95762624012886,15.443225000012717,220.68095800000265,24858.42369263607
1688072515,340,,Aggregated,65.300000,0.000000,32,40,45,50,69,87,100,210,220,220,220,1040,0,32,39.46877193846218,15.443225000012717,220.68095800000265,24833.210576923077
1688072516,360,,Aggregated,70.300000,0.000000,31,38,45,50,71,92,110,210,220,220,220,1159,0,31,39.32460569456466,15.443225000012717,220.68095800000265,24828.105263157893
1688072517,380,,Aggregated,76.600000,0.000000,31,38,45,50,71,90,110,210,220,220,220,1271,0,31,39.194746648308744,15.443225000012717,220.68095800000265,24809.27616050354
1688072518,400,,Aggregated,80.800000,0.000000,30,37,44,49,69,88,100,200,220,220,220,1398,0,30,38.322660449928826,15.443225000012717,220.68095800000265,24802.080114449214
1688072519,420,,Aggregated,87.700000,0.000000,29,37,44,49,69,86,100,120,220,220,220,1516,0,29,38.05655374472323,15.443225000012717,220.68095800000265,24782.341029023748
1688072520,440,,Aggregated,92.900000,0.000000,28,36,43,47,66,84,100,120,220,220,220,1667,0,28,37.04480944931043,15.443225000012717,220.68095800000265,24775.140371925616
1688072521,460,,Aggregated,98.500000,0.000000,28,36,43,47,66,83,100,110,220,220,220,1794,0,28,36.925628707915436,15.443225000012717,220.68095800000265,24785.54459308807
1688072522,480,,Aggregated,102.900000,0.000000,28,35,43,46,66,80,99,110,220,220,220,1926,0,28,36.66125190498454,15.443225000012717,220.68095800000265,24785.584631360332
1688072523,500,,Aggregated,110.900000,0.000000,28,35,42,46,66,80,99,110,220,220,220,2091,0,28,36.42809340363466,15.443225000012717,220.68095800000265,24770.95695839311
1688072524,520,,Aggregated,115.400000,0.000000,28,34,42,46,64,79,98,110,220,220,220,2256,0,28,35.89408238519507,15.443225000012717,220.68095800000265,24772.270833333332
1688072525,540,,Aggregated,117.000000,0.000000,28,34,42,46,64,78,96,110,220,220,220,2412,0,27,35.7189473922058,15.443225000012717,220.68095800000265,24770.121475953565
1688072526,560,,Aggregated,125.800000,0.000000,27,34,41,45,63,76,95,110,220,220,220,2578,0,27,35.357237678045195,15.443225000012717,220.68095800000265,24771.33824670287
1688072527,580,,Aggregated,130.800000,0.000000,27,34,41,45,63,77,95,100,220,220,220,2755,0,27,35.34902745553566,15.443225000012717,220.68095800000265,24763.211978221414
1688072528,600,,Aggregated,138.200000,0.000000,27,33,40,45,62,75,95,100,220,220,220,2941,0,27,34.905362504250476,15.443225000012717,220.68095800000265,24766.477388643318
1688072529,620,,Aggregated,140.900000,0.000000,27,33,40,45,62,76,94,100,220,220,220,3124,0,27,34.994408740717304,15.443225000012717,220.68095800000265,24755.683738796415
1688072530,640,,Aggregated,148.700000,0.000000,27,33,39,44,62,74,94,100,220,220,220,3317,0,27,34.66885045131168,15.443225000012717,220.68095800000265,24768.88393126319
1688072531,660,,Aggregated,153.100000,0.000000,27,33,39,44,62,75,94,100,220,220,220,3506,0,27,34.71133328750731,15.443225000012717,220.68095800000265,24768.409298345694
